SA2_CODE21,SA2_NAME21,sum_ptv_trips
213031348,Footscray,171846
213031349,Maribyrnong,91967
213031350,Seddon - Kingsville,28062
213031351,West Footscray - Tottenham,63412
213031352,Yarraville,34195
213041353,Bacchus Marsh,9141
213041358,Melton West,18409
213041359,Rockbank - Mount Cottrell,11926
213041360,Taylors Hill,9146
213041461,Burnside,19464
213041462,Burnside Heights,3468
213041463,Caroline Springs,33106
213041571,Brookfield,4737
213041572,Cobblebank - Strathtulloh,3194
213041574,Fraser Rise - Plumpton,2411
213041575,Hillside,10270
213041576,Kurunjang - Toolern Vale,7053
213041577,Melton,15927
213041578,Melton South - Weir Views,12522
213051361,Hoppers Crossing - North,31907
213051362,Hoppers Crossing - South,32449
213051363,Laverton,37888
213051368,Werribee - South,18334
213051464,Point Cook - East,10119
213051466,Point Cook - South,8847
213051467,Werribee - East,49100
213051468,Werribee - West,27811
213051579,Manor Lakes - Quandong,3031
213051580,Point Cook - North East,19902
213051581,Point Cook - North West,4623
213051582,Tarneit (West) - Mount Cottrell,6114
213051583,Tarneit - Central,33965
213051584,Tarneit - North,11801
213051585,Tarneit - South,13908
213051586,Truganina - North,3611
213051587,Truganina - South East,7803
213051588,Truganina - South West,13743
213051589,Wyndham Vale - North,7500
213051590,Wyndham Vale - South,23166
214011370,Carrum Downs,37799
214011371,Frankston,23880
214011372,Frankston North,13960
214011373,Frankston South,4135
214011374,Langwarrin,6668
214011375,Seaford (Vic.),22741
214011376,Skye - Sandhurst,1310
214021377,Dromana,6338
214021378,Flinders,56
214021379,Hastings - Somers,3555
214021381,Mount Eliza,6105
214021382,Mount Martha,5492
214021383,Point Nepean,14366
214021384,Rosebud - McCrae,7554
214021385,Somerville,2348
214021591,Mornington - East,4736
214021592,Mornington - West,6421
215011386,Ararat,2165
215011387,Ararat Surrounds,512
215011388,Horsham,2107
215011389,Horsham Surrounds,228
215011390,Nhill Region,355
215011391,St Arnaud,230
215011392,Stawell,2076
215011393,West Wimmera,8
215011394,Yarriambiack,743
215021395,Irymple,750
215021396,Merbein,635
215021398,Mildura Surrounds,262
215021399,Red Cliffs,749
215021469,Mildura - North,3423
215021470,Mildura - South,3270
215031400,Buloke,428
215031401,Gannawarra,356
215031402,Kerang,216
215031403,Robinvale,134
215031404,Swan Hill,955
215031405,Swan Hill Surrounds,963
216011406,Echuca,1528
216011407,Kyabram,409
216011408,Lockington - Gunbower,194
216011409,Rochester,340
216011410,Rushworth,418
216021411,Cobram,171
216021412,Moira,208
216021413,Numurkah,1024
216021414,Yarrawonga,612
216031415,Mooroopna,761
216031416,Shepparton - North,3139
216031418,Shepparton Surrounds - East,356
216031419,Shepparton Surrounds - West,716
216031593,Kialla,291
216031594,Shepparton - South East,3272
217011420,Glenelg (Vic.),719
217011421,Hamilton (Vic.),1054
217011422,Portland,867
217011423,Southern Grampians,463
217031471,Camperdown,230
217031472,Colac,1022
217031473,Colac Surrounds,196
217031474,Corangamite - North,370
217031475,Corangamite - South,252
217031476,Otway,774
217041477,Moyne - East,149
217041478,Moyne - West,1146
217041479,Warrnambool - North,5962
217041480,Warrnambool - South,6072
