stop_id,stop_lat,stop_lon,count
43529,-36.3781616064817,145.404137600491,33
43530,-36.380049480997,145.403753437927,51
43532,-36.3797308613621,145.399479205394,48
43533,-36.3747410794605,145.400462079021,21
43534,-36.3738304396382,145.398429693049,21
43535,-36.3735594572847,145.396373075465,21
43536,-36.3724369827941,145.394010721511,21
43537,-36.3691195275976,145.395338449333,21
43539,-36.3673437135518,145.396010245882,21
43540,-36.3658605328368,145.395650593084,21
43541,-36.3654602122929,145.392694050584,21
43542,-36.3645474900034,145.391185880582,21
43543,-36.3618670600737,145.387607731625,21
43544,-36.3608322047552,145.387740535004,33
43545,-36.3592887253148,145.385587991481,33
43546,-36.3570218128221,145.385935720607,33
43547,-36.3585833056993,145.39143125948,33
43548,-36.3609256918579,145.394681986208,21
43549,-36.360088942614,145.397485415302,21
43550,-36.3592330189097,145.398862637549,21
43551,-36.3599788946283,145.400708562526,21
43552,-36.3611388907509,145.400495355491,21
43554,-36.3599859671991,145.40056353339,21
43555,-36.3601707967436,145.397539461641,21
43556,-36.3610132646962,145.39449072067,21
43557,-36.360507764857,145.392428133214,21
43558,-36.3582755528179,145.391337291583,12
43559,-36.3570867019326,145.38606811471,12
43560,-36.3607248148079,145.387798475825,12
43561,-36.3619798637833,145.387950905736,21
43563,-36.363986660176,145.390372660501,21
43564,-36.3653523701384,145.392718560496,21
43565,-36.3657151459367,145.395564412373,21
43566,-36.3674619149874,145.396085841207,21
43567,-36.3688538906809,145.393683120446,21
43568,-36.3736512486645,145.39851139558,21
43569,-36.3746640019989,145.400764627834,21
43571,-36.3774741144598,145.399915616911,32
43572,-36.3769758117702,145.401074006217,11
43573,-36.3778577425657,145.407711014273,11
43574,-36.3754728038334,145.409353683663,11
43575,-36.371515549766,145.41274481392,11
43576,-36.3707017223545,145.415269313777,11
43577,-36.3669209984931,145.415669237611,11
43578,-36.3635317713019,145.415682233363,11
43579,-36.3602579191442,145.414879297223,11
43580,-36.3606663359584,145.411694667631,11
43581,-36.3625299979503,145.410843177808,11
43582,-36.3625326199031,145.407655559832,11
43583,-36.3586229565398,145.401772773578,11
43584,-36.3541645256657,145.404070477195,11
43585,-36.3569951554866,145.404079545597,11
43586,-36.3574018228528,145.406857389653,11
43587,-36.3573870536754,145.409131188,11
43588,-36.3553565864204,145.413708250926,11
43589,-36.3542749910201,145.413039263609,11
43590,-36.3514639875784,145.412472280781,11
43591,-36.3478395567628,145.412423303746,11
43592,-36.3461955727107,145.409459217393,11
43593,-36.3443386682099,145.409463561911,11
43594,-36.3443490148072,145.409563636082,22
43595,-36.3464403780684,145.409565667713,11
